Countries,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Sudan,60.0,60.0,60.0,60.0,60.0,59.0,58.0,56.0,55.0,53.0,52.0,50.0,49.0,48.0,46.0,45.0,43.0,43.0,43.0,43.0,43.0
Suriname,98.0,98.0,97.0,97.0,96.0,96.0,95.0,95.0,94.0,94.0,94.0,93.0,93.0,92.0,92.0,91.0,91.0,90.0,90.0,90.0,89.0
Sweden,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0
Switzerland,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Syrian Arab Republic,94.0,94.0,94.0,94.0,94.0,94.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,92.0,92.0,92.0,92.0,92.0,92.0,91.0
Tajikistan,82.0,82.0,80.0,79.0,78.0,76.0,75.0,73.0,72.0,71.0,69.0,68.0,67.0,66.0,64.0,63.0,62.0,60.0,59.0,58.0,57.0
Thailand,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,97.0,97.0,97.0,96.0,96.0,96.0,95.0,95.0,94.0,94.0
Timor-Leste,85.0,84.0,82.0,80.0,78.0,75.0,73.0,71.0,69.0,66.0,64.0,62.0,60.0,58.0,57.0,55.0,54.0,52.0,50.0,,
Togo,69.0,68.0,67.0,66.0,65.0,64.0,62.0,61.0,60.0,59.0,58.0,56.0,55.0,54.0,53.0,52.0,50.0,49.0,48.0,47.0,45.0
Tonga,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
Trinidad and Tobago,99.0,99.0,99.0,99.0,99.0,98.0,98.0,97.0,96.0,96.0,96.0,95.0,95.0,95.0,94.0,94.0,94.0,93.0,93.0,93.0,92.0
Tunisia,98.0,97.0,97.0,96.0,95.0,95.0,94.0,94.0,93.0,92.0,92.0,92.0,92.0,91.0,91.0,90.0,90.0,90.0,89.0,89.0,89.0
Türkiye,97.0,97.0,97.0,97.0,96.0,96.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,94.0,94.0,94.0,94.0
Turkmenistan,100.0,100.0,99.0,99.0,98.0,98.0,97.0,96.0,96.0,95.0,94.0,93.0,93.0,92.0,91.0,91.0,90.0,89.0,88.0,88.0,87.0
Uganda,56.0,54.0,53.0,51.0,49.0,48.0,46.0,45.0,43.0,42.0,40.0,39.0,37.0,36.0,34.0,33.0,32.0,30.0,29.0,28.0,27.0
Ukraine,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,95.0,95.0,96.0,96.0,96.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0
United Arab Emirates,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
United Kingdom of Great Britain and Northern Ireland,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
United Republic of Tanzania,61.0,60.0,59.0,57.0,55.0,53.0,51.0,49.0,48.0,46.0,44.0,42.0,40.0,39.0,37.0,35.0,34.0,32.0,30.0,29.0,28.0
United States of America,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,,,
Uruguay,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,97.0,97.0
Uzbekistan,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,96.0,96.0,96.0,95.0,94.0,93.0,92.0,90.0,89.0,88.0,86.0,85.0
Vanuatu,91.0,91.0,91.0,91.0,91.0,90.0,89.0,89.0,88.0,87.0,86.0,86.0,85.0,84.0,84.0,83.0,82.0,82.0,82.0,82.0,82.0
Venezuela (Bolivarian Republic of),94.0,94.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0
Viet Nam,97.0,96.0,96.0,95.0,94.0,93.0,92.0,91.0,90.0,90.0,89.0,88.0,87.0,86.0,86.0,85.0,84.0,83.0,82.0,81.0,81.0
Yemen,61.0,60.0,59.0,58.0,57.0,56.0,55.0,54.0,53.0,52.0,51.0,49.0,48.0,47.0,46.0,45.0,44.0,43.0,41.0,41.0,41.0
Zambia,65.0,65.0,64.0,63.0,62.0,61.0,61.0,60.0,59.0,58.0,57.0,56.0,55.0,54.0,54.0,53.0,52.0,51.0,50.0,49.0,48.0
Zimbabwe,63.0,63.0,64.0,64.0,64.0,65.0,65.0,66.0,66.0,67.0,68.0,68.0,69.0,69.0,70.0,70.0,71.0,71.0,72.0,72.0,72.0
