Countries,2000_DWU,2001_DWU,2002_DWU,2003_DWU,2004_DWU,2005_DWU,2006_DWU,2007_DWU,2008_DWU,2009_DWU,2010_DWU,2011_DWU,2012_DWU,2013_DWU,2014_DWU,2015_DWU,2016_DWU,2017_DWU,2018_DWU,2019_DWU,2020_DWU,2000_LE60,2010_LE60,2015_LE60,2019_LE60
Benin,62.0,62.0,63.0,63.0,63.0,63.0,63.0,64.0,64.0,64.0,64.0,64.0,64.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,16.1,16.7,17.0,17.4
Bhutan,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,92.0,93.0,94.0,95.0,95.0,96.0,97.0,97.0,97.0,97.0,97.0,17.9,18.9,19.2,19.4
Bolivia (Plurinational State of),80.0,81.0,82.0,82.0,83.0,84.0,84.0,85.0,86.0,87.0,87.0,88.0,89.0,89.0,90.0,90.0,91.0,92.0,92.0,93.0,93.0,17.8,18.5,18.5,18.6
Bosnia and Herzegovina,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,19.6,19.7,19.8,20.2
Botswana,75.0,76.0,76.0,76.0,76.0,76.0,77.0,79.0,80.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,92.0,12.9,15.3,15.9,16.2
Brazil,93.0,94.0,94.0,94.0,95.0,95.0,95.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,19.7,20.8,21.4,21.9
Brunei Darussalam,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,16.8,19.0,19.0,19.2
Bulgaria,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,17.6,18.9,19.4,19.8
Burkina Faso,58.0,58.0,58.0,57.0,57.0,56.0,56.0,55.0,54.0,54.0,53.0,53.0,52.0,51.0,51.0,50.0,50.0,49.0,48.0,48.0,47.0,15.5,16.2,16.4,16.8
Burundi,51.0,51.0,52.0,52.0,53.0,54.0,54.0,55.0,55.0,56.0,57.0,57.0,58.0,58.0,59.0,60.0,60.0,61.0,61.0,62.0,62.0,13.0,15.6,16.2,16.5
Cabo Verde,79.0,79.0,79.0,80.0,80.0,81.0,81.0,82.0,82.0,83.0,83.0,83.0,84.0,84.0,85.0,85.0,86.0,87.0,88.0,88.0,89.0,20.4,22.1,21.7,19.7
Cambodia,53.0,54.0,56.0,57.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,66.0,67.0,68.0,68.0,69.0,70.0,70.0,71.0,71.0,15.8,17.2,17.6,17.7
Cameroon,58.0,58.0,59.0,59.0,59.0,60.0,60.0,61.0,61.0,62.0,62.0,62.0,63.0,63.0,64.0,64.0,64.0,65.0,65.0,65.0,66.0,15.1,15.9,16.4,17.1
Canada,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,22.5,24.4,24.7,25.2
Central African Republic,59.0,58.0,57.0,55.0,54.0,53.0,52.0,51.0,50.0,49.0,48.0,47.0,45.0,44.0,43.0,42.0,41.0,40.0,39.0,38.0,37.0,11.8,12.5,12.8,13.2
Chad,40.0,40.0,40.0,40.0,41.0,41.0,41.0,42.0,42.0,42.0,43.0,43.0,43.0,44.0,44.0,44.0,45.0,45.0,45.0,46.0,46.0,14.9,15.6,16.2,16.5
Chile,96.0,96.0,96.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,21.3,22.5,23.6,24.3
China,80.0,81.0,82.0,83.0,84.0,85.0,85.0,86.0,87.0,88.0,89.0,89.0,90.0,91.0,91.0,92.0,92.0,93.0,93.0,94.0,94.0,18.4,19.6,20.6,21.1
Colombia,91.0,92.0,92.0,93.0,93.0,93.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,21.7,23.0,23.4,24.0
Comoros,91.0,91.0,90.0,89.0,88.0,88.0,87.0,86.0,85.0,84.0,83.0,83.0,82.0,81.0,80.0,80.0,80.0,80.0,80.0,80.0,87.84302325581395,16.3,17.6,17.9,18.1
Congo,57.0,57.0,58.0,58.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,73.0,74.0,74.0,13.9,15.7,16.1,16.4
Costa Rica,94.0,95.0,95.0,96.0,96.0,96.0,97.0,97.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,22.4,24.0,24.9,25.0
Côte d'Ivoire,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,14.5,15.6,16.4,17.1
Croatia,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,83.41436464088397,83.83977900552486,84.25966850828729,84.46153846153847,84.84615384615384,85.27472527472527,85.66483516483517,86.06593406593407,86.52197802197803,87.03888888888889,87.40677966101696,87.69886363636364,87.84302325581395,19.0,20.4,21.0,21.8
Cuba,93.0,93.0,93.0,93.0,93.0,94.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,21.6,21.5,21.8,21.6
Cyprus,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21.9,23.5,24.2,24.9
Czechia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,19.3,21.0,21.5,22.1
Democratic People's Republic of Korea,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,97.0,97.0,97.0,96.0,96.0,96.0,95.0,95.0,95.0,94.0,94.0,94.0,15.5,18.0,18.6,19.1
Democratic Republic of the Congo,34.0,34.0,35.0,35.0,36.0,37.0,37.0,38.0,38.0,39.0,40.0,40.0,41.0,41.0,42.0,43.0,43.0,44.0,45.0,45.0,46.0,14.9,15.5,16.2,16.6
Denmark,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,20.6,22.2,23.2,23.6
Djibouti,75.0,75.0,75.0,75.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,16.3,17.1,17.5,17.8
Dominican Republic,90.0,91.0,91.0,92.0,92.0,93.0,93.0,93.0,94.0,94.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,22.4,21.4,20.2,20.6
Ecuador,82.0,83.0,84.0,85.0,85.0,86.0,87.0,87.0,88.0,89.0,90.0,90.0,91.0,92.0,92.0,93.0,94.0,94.0,95.0,95.0,95.0,21.9,21.6,22.5,23.2
Egypt,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,18.5,17.7,17.0,17.8
El Salvador,78.0,78.0,80.0,81.0,82.0,83.0,85.0,86.0,87.0,88.0,90.0,91.0,92.0,93.0,94.0,96.0,97.0,97.0,98.0,98.0,98.0,21.4,22.1,21.8,22.1
Equatorial Guinea,51.0,52.0,53.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,62.0,63.0,64.0,64.0,64.0,64.0,65.0,87.40677966101696,87.69886363636364,87.84302325581395,15.5,17.6,17.7,17.6
Eritrea,47.0,47.0,47.0,48.0,48.0,48.0,49.0,49.0,50.0,50.0,50.0,50.0,50.0,51.0,51.0,51.0,52.0,87.03888888888889,87.40677966101696,87.69886363636364,87.84302325581395,13.5,14.5,15.1,15.5
Estonia,99.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,18.6,20.8,21.9,22.5
Eswatini,53.0,54.0,55.0,56.0,57.0,58.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,71.0,13.6,13.3,14.6,15.1
Ethiopia,18.0,20.0,21.0,23.0,25.0,26.0,28.0,29.0,31.0,33.0,34.0,36.0,37.0,39.0,41.0,42.0,44.0,45.0,47.0,48.0,50.0,14.1,17.3,18.1,18.4
Fiji,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,14.7,15.8,16.0,16.2
Finland,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21.6,23.3,23.9,24.2
France,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,24.7,25.0,25.3
Gabon,81.0,81.0,81.0,82.0,82.0,82.0,82.0,82.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,84.0,84.0,85.0,85.0,85.0,85.0,15.2,16.4,16.9,17.2
Gambia,74.0,74.0,75.0,75.0,75.0,76.0,76.0,76.0,77.0,77.0,77.0,78.0,78.0,79.0,79.0,79.0,80.0,80.0,80.0,81.0,81.0,16.2,16.5,16.7,16.9
Georgia,94.0,94.0,94.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,17.0,18.2,18.4,18.8
Germany,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21.8,23.2,23.2,24.4
Ghana,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,84.0,85.0,86.0,16.0,16.2,16.8,17.2
Greece,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21.5,23.3,23.5,23.8
Grenada,93.0,94.0,94.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,87.40677966101696,87.69886363636364,87.84302325581395,17.9,17.7,18.9,18.7
Guatemala,86.0,87.0,87.0,88.0,88.0,88.0,89.0,89.0,90.0,90.0,90.0,91.0,91.0,91.0,92.0,92.0,92.0,93.0,93.0,94.0,94.0,19.1,19.6,19.9,20.5
Guinea,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,63.0,63.0,63.0,63.0,64.0,64.0,64.0,64.0,64.0,64.0,15.7,15.8,15.9,16.5
Guinea-Bissau,56.0,56.0,57.0,57.0,57.0,57.0,57.0,58.0,58.0,58.0,58.0,58.0,58.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,13.8,14.6,15.0,15.5
Guyana,88.0,88.0,89.0,89.0,90.0,90.0,91.0,91.0,92.0,92.0,93.0,93.0,94.0,94.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,15.9,16.2,16.6,16.6
Haiti,56.0,57.0,58.0,59.0,59.0,60.0,60.0,61.0,61.0,62.0,62.0,63.0,63.0,64.0,64.0,65.0,65.0,65.0,66.0,66.0,67.0,15.8,11.5,16.5,16.8
Honduras,85.0,86.0,86.0,87.0,87.0,88.0,89.0,89.0,90.0,90.0,91.0,91.0,92.0,92.0,93.0,93.0,94.0,94.0,95.0,95.0,96.0,19.6,18.9,17.9,18.3
Hungary,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,18.0,19.7,19.9,20.2
Iceland,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,22.6,23.9,24.4,24.6
India,80.0,81.0,82.0,82.0,83.0,83.0,84.0,84.0,85.0,85.0,86.0,86.0,87.0,87.0,88.0,88.0,89.0,89.0,90.0,90.0,90.0,16.1,18.0,18.5,18.8
Indonesia,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,84.0,85.0,86.0,87.0,88.0,89.0,89.0,90.0,91.0,92.0,92.0,17.6,17.5,17.7,17.9
Iran (Islamic Republic of),94.0,94.0,95.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,19.7,21.4,21.6,21.8
Iraq,81.0,82.0,83.0,84.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,92.0,93.0,94.0,95.0,96.0,97.0,98.0,98.0,18.3,18.8,19.2,19.2
Ireland,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,20.2,23.2,23.7,24.2
Israel,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21.9,24.2,24.3,24.9
Italy,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,22.5,24.4,24.5,25.0
Jamaica,93.0,93.0,93.0,94.0,93.0,93.0,93.0,92.0,92.0,92.0,91.0,91.0,90.0,90.0,90.0,90.0,91.0,91.0,91.0,91.0,91.0,21.0,21.6,21.4,21.3
Japan,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,24.1,25.3,25.9,26.3
Jordan,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,18.6,21.0,21.8,21.8
Kazakhstan,90.0,91.0,91.0,91.0,92.0,92.0,92.0,93.0,93.0,93.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,15.3,17.2,18.6,19.5
Kenya,47.0,48.0,49.0,50.0,50.0,51.0,52.0,52.0,53.0,54.0,55.0,55.0,56.0,57.0,57.0,58.0,59.0,60.0,60.0,61.0,62.0,16.3,16.8,17.3,17.6
Kiribati,60.0,61.0,62.0,63.0,63.0,64.0,65.0,66.0,68.0,69.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,76.0,77.0,78.0,12.6,13.2,13.5,13.7
Kuwait,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,22.2,23.2,24.2,24.0
Kyrgyzstan,80.0,80.0,81.0,81.0,82.0,82.0,83.0,84.0,84.0,85.0,85.0,86.0,87.0,87.0,88.0,88.0,89.0,90.0,90.0,91.0,92.0,16.7,17.6,18.4,20.0
Lao People's Democratic Republic,46.0,49.0,51.0,53.0,56.0,58.0,60.0,62.0,64.0,66.0,68.0,70.0,72.0,74.0,76.0,77.0,80.0,81.0,83.0,85.0,85.0,15.3,16.9,17.5,17.6
Latvia,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,18.3,19.2,20.4,20.5
Lebanon,86.0,86.0,87.0,87.0,87.0,88.0,88.0,88.0,89.0,89.0,89.0,90.0,90.0,91.0,91.0,91.0,92.0,92.0,92.0,93.0,93.0,19.8,19.9,20.1,20.5
Lesotho,66.0,66.0,67.0,67.0,67.0,68.0,68.0,68.0,68.0,69.0,69.0,69.0,70.0,70.0,70.0,71.0,71.0,71.0,72.0,72.0,72.0,13.9,12.8,12.7,13.4
Liberia,62.0,63.0,64.0,64.0,65.0,66.0,67.0,68.0,68.0,69.0,70.0,70.0,71.0,71.0,72.0,73.0,73.0,74.0,74.0,75.0,75.0,15.8,16.7,17.1,17.7
Libya,84.0,85.0,86.0,87.0,88.0,89.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,96.0,97.0,98.0,99.0,100.0,100.0,100.0,21.0,21.5,21.3,21.3
Lithuania,90.0,90.0,91.0,91.0,91.0,92.0,92.0,93.0,93.0,94.0,94.0,95.0,95.0,96.0,96.0,97.0,97.0,98.0,98.0,98.0,98.0,19.5,19.9,20.3,20.9
Luxembourg,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21.8,23.5,24.4,24.4
Madagascar,36.0,37.0,38.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,52.0,53.0,15.4,16.1,16.5,16.8
Malawi,54.0,55.0,56.0,56.0,57.0,58.0,59.0,60.0,61.0,61.0,62.0,63.0,64.0,65.0,65.0,66.0,67.0,68.0,69.0,69.0,70.0,14.0,16.0,16.9,17.2
Malaysia,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,18.1,19.2,19.9,19.5
Maldives,94.0,94.0,95.0,95.0,95.0,96.0,96.0,96.0,97.0,97.0,97.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,18.0,20.3,21.3,22.1
Mali,49.0,51.0,53.0,54.0,56.0,58.0,59.0,61.0,63.0,64.0,66.0,68.0,69.0,71.0,73.0,74.0,76.0,78.0,79.0,81.0,83.0,16.0,16.8,17.1,17.5
Malta,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,20.8,23.2,24.2,24.5
Mauritania,41.0,42.0,44.0,45.0,47.0,49.0,51.0,52.0,54.0,56.0,58.0,60.0,61.0,63.0,65.0,67.0,69.0,71.0,71.0,71.0,72.0,17.1,18.5,18.8,19.0
Mauritius,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,17.8,19.4,20.2,20.3
Mexico,90.0,91.0,91.0,92.0,92.0,93.0,94.0,94.0,95.0,95.0,96.0,96.0,97.0,97.0,98.0,98.0,98.0,99.0,99.0,99.0,100.0,21.6,21.5,21.7,21.8
Micronesia (Federated States of),85.0,86.0,86.0,86.0,86.0,86.0,87.0,87.0,87.0,87.0,87.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,87.84302325581395,14.6,14.9,14.8,14.7
Mongolia,62.0,64.0,65.0,66.0,68.0,69.0,71.0,72.0,73.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,85.0,13.4,15.1,16.5,16.4
Montenegro,79.93785310734464,80.35028248587571,80.69832402234637,81.08938547486034,81.53072625698324,82.13812154696133,95.0,95.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,98.0,98.0,99.0,99.0,99.0,19.2,19.0,19.0,19.4
Morocco,62.0,64.0,65.0,66.0,68.0,69.0,71.0,72.0,74.0,75.0,77.0,78.0,80.0,81.0,82.0,84.0,85.0,86.0,88.0,89.0,90.0,18.4,18.7,18.5,18.7
Mozambique,21.0,22.0,24.0,26.0,28.0,29.0,31.0,33.0,35.0,38.0,40.0,42.0,44.0,47.0,49.0,51.0,54.0,56.0,58.0,61.0,63.0,15.2,15.1,15.3,15.8
Myanmar,47.0,49.0,50.0,52.0,54.0,55.0,57.0,59.0,60.0,62.0,64.0,66.0,68.0,70.0,72.0,74.0,76.0,78.0,80.0,82.0,84.0,15.4,17.0,17.7,18.1
Namibia,76.0,77.0,77.0,78.0,78.0,78.0,79.0,79.0,80.0,80.0,81.0,81.0,81.0,82.0,82.0,83.0,83.0,83.0,84.0,84.0,84.0,14.6,16.4,17.0,17.2
Nepal,80.0,81.0,81.0,82.0,82.0,83.0,83.0,84.0,84.0,85.0,85.0,86.0,86.0,87.0,87.0,88.0,88.0,89.0,89.0,90.0,90.0,17.6,18.1,17.8,18.0
Netherlands,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21.3,23.3,23.6,24.1
New Zealand,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,22.4,24.2,24.3,24.8
Nicaragua,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,82.0,82.0,82.0,20.1,19.6,19.9,20.0
Niger,37.0,38.0,38.0,39.0,40.0,41.0,41.0,42.0,42.0,43.0,43.0,44.0,44.0,45.0,45.0,45.0,46.0,46.0,46.0,47.0,47.0,15.8,16.6,16.8,17.2
Nigeria,43.0,45.0,46.0,48.0,50.0,51.0,53.0,55.0,57.0,58.0,60.0,62.0,64.0,65.0,67.0,69.0,71.0,72.0,74.0,76.0,78.0,16.2,17.3,17.8,18.2
Norway,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,22.0,23.5,24.2,24.7
Oman,86.0,86.0,86.0,86.0,86.0,86.0,86.0,87.0,87.0,87.0,88.0,88.0,89.0,89.0,90.0,90.0,91.0,91.0,92.0,92.0,92.0,15.6,15.9,16.7,17.8
Pakistan,87.0,87.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,90.0,90.0,90.0,90.0,90.0,15.7,16.4,16.8,17.3
Panama,90.0,90.0,90.0,91.0,91.0,91.0,91.0,91.0,92.0,92.0,92.0,92.0,92.0,92.0,93.0,93.0,93.0,94.0,94.0,94.0,94.0,23.3,23.3,24.0,24.3
Papua New Guinea,33.0,33.0,33.0,33.0,33.0,34.0,35.0,35.0,36.0,37.0,38.0,38.0,39.0,40.0,41.0,41.0,42.0,43.0,44.0,45.0,45.0,16.4,16.1,16.3,16.5
Paraguay,76.0,77.0,79.0,80.0,82.0,83.0,85.0,86.0,88.0,89.0,90.0,92.0,93.0,94.0,96.0,97.0,98.0,99.0,100.0,100.0,100.0,22.0,21.6,21.8,21.8
Peru,80.0,81.0,82.0,83.0,83.0,84.0,85.0,85.0,86.0,87.0,87.0,88.0,89.0,89.0,90.0,90.0,91.0,91.0,92.0,93.0,93.0,22.3,23.0,24.0,24.4
