Countries,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
New Zealand,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Nicaragua,82,82,82,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
Niger,47,47,46,46,46,45,45,45,44,44,43,43,42,42,41,41,40,39,38,38,37
Nigeria,78,76,74,72,71,69,67,65,64,62,60,58,57,55,53,51,50,48,46,45,43
Niue,97,97,97,97,97,98,98,98,98,98,98,98,99,99,99,99,99,99,99,99,99
Norway,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"occupied Palestinian territory, including east Jerusalem",98,98,97,97,97,96,96,96,95,95,95,94,94,93,93,93,92,92,91,91,91
Oman,92,92,92,91,91,90,90,89,89,88,88,87,87,87,86,86,86,86,86,86,86
Pakistan,90,90,90,90,90,89,89,89,89,89,89,89,88,88,88,88,88,88,88,87,87
Palau,100,100,100,100,100,100,100,100,100,100,100,100,99,99,99,99,99,99,99,99,99
Panama,94,94,94,94,93,93,93,92,92,92,92,92,92,91,91,91,91,91,90,90,90
Papua New Guinea,45,45,44,43,42,41,41,40,39,38,38,37,36,35,35,34,33,33,33,33,33
Paraguay,100,100,100,99,98,97,96,94,93,92,90,89,88,86,85,83,82,80,79,77,76
Peru,93,93,92,91,91,90,90,89,89,88,87,87,86,85,85,84,83,83,82,81,80
Philippines,94,94,93,93,92,92,92,91,91,90,90,90,89,89,88,88,88,87,87,86,86
Poland,100,100,100,100,99,99,99,99,99,98,98,98,98,98,98,98,,,,,
Portugal,100,100,100,100,100,100,100,100,100,100,100,99,99,99,99,99,99,99,99,99,99
Qatar,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Republic of Korea,100,100,100,100,100,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,
Republic of Moldova,91,90,90,89,89,89,88,88,87,87,87,86,86,85,85,85,84,84,84,83,83
North Macedonia,98,98,98,98,98,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
Romania,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Russian Federation,97,97,97,97,97,97,96,96,96,96,96,96,96,96,96,96,96,95,95,95,95
Rwanda,60,60,60,59,58,57,56,56,55,54,53,52,52,51,50,49,49,48,47,46,45
Saint Kitts and Nevis,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98
Saint Lucia,97,97,97,96,96,96,95,95,94,94,93,93,93,92,92,91,91,91,90,90,90
Saint Vincent and the Grenadines,,,95,95,95,95,95,95,95,95,95,94,94,94,94,94,94,94,93,93,93
Samoa,92,92,92,92,92,91,91,91,91,90,90,90,90,89,89,89,89,89,89,89,89
San Marino,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Sao Tome and Principe,78,78,78,78,78,77,77,76,76,75,74,74,73,73,72,71,71,70,69,69,68
Saudi Arabia,100,100,100,100,100,100,99,99,99,99,99,99,98,98,98,98,98,98,97,97,97
Senegal,85,84,82,81,80,79,77,76,75,74,72,71,70,68,67,66,65,63,62,61,60
Serbia,95,95,95,94,94,93,93,93,92,92,91,91,91,90,90,90,89,89,89,89,89
Seychelles,,97,96,96,96,96,96,96,96,96,96,95,95,95,95,94,94,94,94,94,93
Sierra Leone,64,63,61,60,59,58,57,55,54,53,52,51,49,48,47,46,44,43,42,41,41
Singapore,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Slovakia,100,100,100,100,100,100,100,100,99,99,99,98,98,98,98,98,98,98,98,98,98
Slovenia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Solomon Islands,67,67,67,68,69,69,70,71,72,73,74,74,75,76,77,78,79,79,79,79,79
Somalia,56,55,53,52,50,49,47,46,44,42,40,38,36,34,34,32,30,29,27,25,24
South Africa,94,94,93,93,92,92,91,91,91,90,90,89,89,88,88,87,87,86,86,85,84
South Sudan,41,41,41,41,41,41,41,41,41,41,,,,,,,,,,,
Spain,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Sri Lanka,92,92,92,92,91,90,89,89,88,87,87,86,85,85,84,83,83,82,81,81,80
Sudan,60,60,60,60,60,59,58,56,55,53,52,50,49,48,46,45,43,43,43,43,43
Suriname,98,98,97,97,96,96,95,95,94,94,94,93,93,92,92,91,91,90,90,90,89
Sweden,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,99,99
Switzerland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Syrian Arab Republic,94,94,94,94,94,94,93,93,93,93,93,93,93,93,92,92,92,92,92,92,91
Tajikistan,82,82,80,79,78,76,75,73,72,71,69,68,67,66,64,63,62,60,59,58,57
Thailand,100,100,100,100,99,99,99,99,98,98,98,97,97,97,96,96,96,95,95,94,94
Timor-Leste,85,84,82,80,78,75,73,71,69,66,64,62,60,58,57,55,54,52,50,,
Togo,69,68,67,66,65,64,62,61,60,59,58,56,55,54,53,52,50,49,48,47,45
Tonga,99,99,99,99,99,99,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Trinidad and Tobago,99,99,99,99,99,98,98,97,96,96,96,95,95,95,94,94,94,93,93,93,92
Tunisia,98,97,97,96,95,95,94,94,93,92,92,92,92,91,91,90,90,90,89,89,89
Türkiye,97,97,97,97,96,96,96,96,96,96,95,95,95,95,95,94,94,94,94,94,94
Turkmenistan,100,100,99,99,98,98,97,96,96,95,94,93,93,92,91,91,90,89,88,88,87
Tuvalu,100,100,100,100,100,100,100,100,100,100,99,99,99,98,98,98,98,97,97,97,
Uganda,56,54,53,51,49,48,46,45,43,42,40,39,37,36,34,33,32,30,29,28,27
Ukraine,94,94,94,94,94,94,94,94,94,95,95,96,96,96,97,97,98,98,98,98,98
United Arab Emirates,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
United Kingdom of Great Britain and Northern Ireland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
United Republic of Tanzania,61,60,59,57,55,53,51,49,48,46,44,42,40,39,37,35,34,32,30,29,28
United States of America,100,100,100,100,100,99,99,99,99,99,99,99,99,99,99,99,,,,,
Uruguay,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,97,97,97,97,97,97
Uzbekistan,98,98,98,98,98,98,97,97,97,96,96,96,95,94,93,92,90,89,88,86,85
Vanuatu,91,91,91,91,91,90,89,89,88,87,86,86,85,84,84,83,82,82,82,82,82
Venezuela (Bolivarian Republic of),94,94,94,94,94,95,95,95,95,95,95,96,96,96,96,96,97,97,97,97,97
Viet Nam,97,96,96,95,94,93,92,91,90,90,89,88,87,86,86,85,84,83,82,81,81
Yemen,61,60,59,58,57,56,55,54,53,52,51,49,48,47,46,45,44,43,41,41,41
Zambia,65,65,64,63,62,61,61,60,59,58,57,56,55,54,54,53,52,51,50,49,48
Zimbabwe,63,63,64,64,64,65,65,66,66,67,68,68,69,69,70,70,71,71,72,72,72
